일자별 시간표 내역을 입력합니다,,,,교시별 세부 시간표 내역을 입력합니다,,,,
훈련일자,훈련시작시간,훈련종료시간,방학여부,시작시간,시간구분,훈련강사코드,교육장소(강의실)코드,교과목(및 능력단위)코드
20210129,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,딥러닝 기본_다양한 딥러닝 기법_5
20210129,0900,1800,N,1200,2,,,
20210129,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,딥러닝 기본_다양한 딥러닝 기법_5
20210201,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,자연어 처리_자연어 처리_10
20210201,0900,1800,N,1200,2,,,
20210201,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,자연어 처리_자연어 처리_10
20210202,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,자연어 처리_자연어 처리기술의 이해_10
20210202,0900,1800,N,1200,2,,,
20210202,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,자연어 처리_자연어 처리기술의 이해_10
20210203,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,자연어 처리_자연어처리 시스템의 이해_10
20210203,0900,1800,N,1200,2,,,
20210203,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,자연어 처리_자연어처리 시스템의 이해_10
20210204,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,자연어 처리_기계학습과 자연어처리 시스템_10
20210204,0900,1800,N,1200,2,,,
20210204,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,자연어 처리_기계학습과 자연어처리 시스템_10
20210205,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,자연어 처리_기계학습과 자연어처리 시스템_10
20210205,0900,1800,N,1200,2,,,
20210205,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,자연어 처리_기계학습과 자연어처리 시스템_10
20210208,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,자연어 처리_자연어처리 오픈소스 프로젝트_10
20210208,0900,1800,N,1200,2,,,
20210208,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,자연어 처리_자연어처리 오픈소스 프로젝트_10
20210209,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,자연어 처리_자연어처리 오픈소스 프로젝트_10
20210209,0900,1800,N,1200,2,,,
20210209,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,자연어 처리_자연어처리 오픈소스 프로젝트_10
20210215,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,컴퓨터 비전_픽셀 데이터 처리를 위한 이미지 처리_12
20210215,0900,1800,N,1200,2,,,
20210215,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,컴퓨터 비전_픽셀 데이터 처리를 위한 이미지 처리_12
20210216,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,컴퓨터 비전_픽셀 데이터 처리를 위한 이미지 처리_12
20210216,0900,1800,N,1200,2,,,
20210216,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,컴퓨터 비전_픽셀 데이터 처리를 위한 이미지 처리_12
20210217,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,컴퓨터 비전_시각인지를 위한 딥러닝_12
20210217,0900,1800,N,1200,2,,,
20210217,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,컴퓨터 비전_시각인지를 위한 딥러닝_12
20210218,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,컴퓨터 비전_시각인지를 위한 딥러닝_12
20210218,0900,1800,N,1200,2,,,
20210218,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,컴퓨터 비전_시각인지를 위한 딥러닝_12
20210219,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,컴퓨터 비전_딥러닝 시각 인지 아키텍쳐 이해_12
20210219,0900,1800,N,1200,2,,,
20210219,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,컴퓨터 비전_딥러닝 시각 인지 아키텍쳐 이해_12
20210222,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,컴퓨터 비전_딥러닝 시각 인지 아키텍쳐 이해_12
20210222,0900,1800,N,1200,2,,,
20210222,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,컴퓨터 비전_딥러닝 시각 인지 아키텍쳐 이해_12
20210223,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,컴퓨터 비전_딥러닝 기반 영상처리 프로젝트_12
20210223,0900,1800,N,1200,2,,,
20210223,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,컴퓨터 비전_딥러닝 기반 영상처리 프로젝트_12
20210224,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,컴퓨터 비전_딥러닝 기반 영상처리 프로젝트_12
20210224,0900,1800,N,1200,2,,,
20210224,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,컴퓨터 비전_딥러닝 기반 영상처리 프로젝트_12
20210225,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,지능형 IoT_아두이노 플랫폼_11
20210225,0900,1800,N,1200,2,,,
20210225,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,지능형 IoT_아두이노 플랫폼_11
20210226,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,지능형 IoT_타이젠 플랫폼_11
20210226,0900,1800,N,1200,2,,,
20210226,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,지능형 IoT_타이젠 플랫폼_11
20210302,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,지능형 IoT_사물인터넷 통신_11
20210302,0900,1800,N,1200,2,,,
20210302,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,지능형 IoT_사물인터넷 통신_11
20210303,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,지능형 IoT_딥러닝 지능형 IoT_11
20210303,0900,1800,N,1200,2,,,
20210303,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,지능형 IoT_딥러닝 지능형 IoT_11
20210304,0900,1800,N,0900,1,강경원_1618741,YGL_C1(실습겸용강의실)_222802,특강_특강_13
20210304,0900,1800,N,1200,2,,,
20210304,0900,1800,N,1300,1,강경원_1618741,YGL_C1(실습겸용강의실)_222802,특강_특강_13
20210305,0900,1800,N,0900,1,강경원_1618741,YGL_C1(실습겸용강의실)_222802,특강_특강_13
20210305,0900,1800,N,1200,2,,,
20210305,0900,1800,N,1300,1,강경원_1618741,YGL_C1(실습겸용강의실)_222802,특강_특강_13
20210306,0900,1800,N,0900,1,박철훈_1425143,YGL_C1(실습겸용강의실)_222802,멘토링_멘토링_6
20210306,0900,1800,N,1200,2,,,
20210306,0900,1800,N,1300,1,박철훈_1425143,YGL_C1(실습겸용강의실)_222802,멘토링_멘토링_6
20210308,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,세미 프로젝트1_파이썬 응용프로젝트 계획_7
20210308,0900,1800,N,1200,2,,,
20210308,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,세미 프로젝트1_파이썬 응용프로젝트 계획_7
20210309,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,세미 프로젝트1_스케쥴링과 인프라 구축_7
20210309,0900,1800,N,1200,2,,,
20210309,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,세미 프로젝트1_프로젝트 기획_7
20210310,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,세미 프로젝트1_프로젝트 시스템 설계_7
20210310,0900,1800,N,1200,2,,,
20210310,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,세미 프로젝트1_프로젝트 시스템 설계_7
20210311,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,세미 프로젝트1_프로젝트 개발_7
20210311,0900,1800,N,1200,2,,,
20210311,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,세미 프로젝트1_프로젝트 개발_7
20210312,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,세미 프로젝트1_프로젝트 테스트_7
20210312,0900,1800,N,1200,2,,,
20210312,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,세미 프로젝트1_프로젝트 테스트_7
20210313,0900,1800,N,0900,1,박철훈_1425143,YGL_C1(실습겸용강의실)_222802,멘토링_멘토링_6
20210313,0900,1800,N,1200,2,,,
20210313,0900,1800,N,1300,1,박철훈_1425143,YGL_C1(실습겸용강의실)_222802,멘토링_멘토링_6
20210316,0900,1800,N,0900,1,구정은_52718,YGL_C1(실습겸용강의실)_222802,세미 프로젝트2_추론탐색알고리즘 프로젝트 계획_8
20210316,0900,1800,N,1200,2,,,
20210316,0900,1800,N,1300,1,구정은_52718,YGL_C1(실습겸용강의실)_222802,세미 프로젝트2_추론탐색알고리즘 프로젝트 계획_8
20210317,0900,1800,N,0900,1,구정은_52718,YGL_C1(실습겸용강의실)_222802,세미 프로젝트2_스케쥴링과 인프라 구축_8
20210317,0900,1800,N,1200,2,,,
20210317,0900,1800,N,1300,1,구정은_52718,YGL_C1(실습겸용강의실)_222802,세미 프로젝트2_스케쥴링과 인프라 구축_8
20210318,0900,1800,N,0900,1,구정은_52718,YGL_C1(실습겸용강의실)_222802,세미 프로젝트2_프로젝트 기획_8
20210318,0900,1800,N,1200,2,,,
20210318,0900,1800,N,1300,1,구정은_52718,YGL_C1(실습겸용강의실)_222802,세미 프로젝트2_프로젝트 기획_8
20210319,0900,1800,N,0900,1,구정은_52718,YGL_C1(실습겸용강의실)_222802,세미 프로젝트2_프로젝트 시스템 설계_8
20210319,0900,1800,N,1200,2,,,
20210319,0900,1800,N,1300,1,구정은_52718,YGL_C1(실습겸용강의실)_222802,세미 프로젝트2_프로젝트 시스템 설계_8
20210320,0900,1800,N,0900,1,박철훈_1425143,YGL_C1(실습겸용강의실)_222802,멘토링_멘토링_6
20210320,0900,1800,N,1200,2,,,
20210320,0900,1800,N,1300,1,박철훈_1425143,YGL_C1(실습겸용강의실)_222802,멘토링_멘토링_6
20210323,0900,1800,N,0900,1,구정은_52718,YGL_C1(실습겸용강의실)_222802,세미 프로젝트2_프로젝트 개발_8
20210323,0900,1800,N,1200,2,,,
20210323,0900,1800,N,1300,1,구정은_52718,YGL_C1(실습겸용강의실)_222802,세미 프로젝트2_프로젝트 개발_8
20210324,0900,1800,N,0900,1,구정은_52718,YGL_C1(실습겸용강의실)_222802,세미 프로젝트2_프로젝트 개발_8
20210324,0900,1800,N,1200,2,,,
20210324,0900,1800,N,1300,1,구정은_52718,YGL_C1(실습겸용강의실)_222802,세미 프로젝트2_프로젝트 개발_8
20210325,0900,1800,N,0900,1,구정은_52718,YGL_C1(실습겸용강의실)_222802,세미 프로젝트2_프로젝트 테스트_8
20210325,0900,1800,N,1200,2,,,
20210325,0900,1800,N,1300,1,구정은_52718,YGL_C1(실습겸용강의실)_222802,세미 프로젝트2_프로젝트 테스트_8
20210326,0900,1800,N,0900,1,구정은_52718,YGL_C1(실습겸용강의실)_222802,세미 프로젝트2_프로젝트 테스트_8
20210326,0900,1800,N,1200,2,,,
20210326,0900,1800,N,1300,1,구정은_52718,YGL_C1(실습겸용강의실)_222802,세미 프로젝트2_프로젝트 테스트_8
20210327,0900,1800,N,0900,1,박철훈_1425143,YGL_C1(실습겸용강의실)_222802,멘토링_멘토링_6
20210327,0900,1800,N,1200,2,,,
20210327,0900,1800,N,1300,1,박철훈_1425143,YGL_C1(실습겸용강의실)_222802,멘토링_멘토링_6
20210330,0900,1800,N,0900,1,강경원_1618741,YGL_C1(실습겸용강의실)_222802,특강_특강_13
20210330,0900,1800,N,1200,2,,,
20210330,0900,1800,N,1300,1,강경원_1618741,YGL_C1(실습겸용강의실)_222802,특강_특강_13
20210331,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,파이널 프로젝트_데이터분석 시각화 프로젝트 계획_14
20210331,0900,1800,N,1200,2,,,
